epoch,train_loss,train_acc,val_loss,val_acc,val_sens,val_spec
0,0.4629690530126946,0.7851622874806801,2.121826782561185,0.7192982456140351,0.0,0.9999999999878049
1,0.2409758791672944,0.8979907264296755,0.832184584517228,0.7280701754385965,0.03124999999902344,0.9999999999878049
2,0.09132168907456249,0.973724884080371,0.8343401812670523,0.7807017543859649,0.21874999999316408,0.9999999999878049
3,0.03405481061021548,0.990726429675425,1.9622264744942648,0.7543859649122807,0.12499999999609376,0.9999999999878049
4,0.07459343764808611,0.98145285935085,1.4051893384833085,0.7543859649122807,0.1562499999951172,0.987804878036734
5,0.04456874086784985,0.9876352395672334,0.9673771743188825,0.7807017543859649,0.24999999999218753,0.987804878036734
6,0.012091209349608252,0.9953632148377125,0.5930583121483786,0.868421052631579,0.562499999982422,0.987804878036734
7,0.006196441288628663,1.0,0.5286692176994524,0.8859649122807017,0.6249999999804688,0.987804878036734
8,0.004840877623235378,0.9984544049459042,0.42877619517476934,0.8947368421052632,0.6874999999785157,0.9756097560856632
9,0.003338634179346551,1.0,0.3341352291274489,0.9122807017543859,0.7499999999765626,0.9756097560856632
10,0.0025566618413113093,1.0,0.2857993658174548,0.9298245614035088,0.8124999999746094,0.9756097560856632
11,0.007217519235015606,0.9984544049459042,0.25908024164668303,0.9298245614035088,0.8124999999746094,0.9756097560856632
12,0.025186406823392085,0.9891808346213292,0.40557256445550083,0.9035087719298246,0.7187499999775392,0.9756097560856632
13,0.015683048034815184,0.9953632148377125,0.28469048806449826,0.9210526315789473,0.781249999975586,0.9756097560856632
14,0.005655727727796416,0.9984544049459042,0.23906715671744264,0.9473684210526315,0.8749999999726563,0.9756097560856632
15,0.005584125497005592,0.9984544049459042,0.27546755159110353,0.9298245614035088,0.8124999999746094,0.9756097560856632
16,0.0023427310125226477,1.0,0.3195773394484269,0.9298245614035088,0.8124999999746094,0.9756097560856632
17,0.00440895145001837,1.0,0.28744415808142276,0.9385964912280702,0.8749999999726563,0.9634146341345925
18,0.001380247041263504,1.0,0.2865587608856067,0.9385964912280702,0.8749999999726563,0.9634146341345925
19,0.0008813674409457784,1.0,0.28960306210476056,0.9385964912280702,0.8749999999726563,0.9634146341345925
